ItemID,Sentiment,SentimentSource,SentimentText
285,0,Sentiment140,                                           exhausted
1348,1,Sentiment140, Arizona Real Estate Specialist - View ALL HOMES for sale in arizona on my website FREE http://www.nicholasmcconnell.com Coldwell Banker
6114,0,Sentiment140, SA what the hell?
1906,1,Sentiment140, Final Destination 4 has a release date!! August 1st!!!!
1865,0,Sentiment140, dude bringing up memories now
3531,0,Sentiment140, im hungry xD what to have to eat.
2413,0,Sentiment140, home and away (i've been home to watch this every day this week?)
1777,0,Sentiment140," Damn, I missed Kindergarden Cop on showtime, I'll have to catch the replay later. &lt;3 that movie"
2585,0,Sentiment140, i get my flip-flops in a few days but i am not happy.
2815,1,Sentiment140, meebo is awesome 
591,1,Sentiment140, at the nursery. the wailing have just ended. all sleeping soundly. working morning shift tmrw. grr
1693,0,Sentiment140, i lost my book while i was sleeping. who does that?!
2481,0,Sentiment140, karly on bb...how ...fifian..?
5409,0,Sentiment140,#followfriday @wildpanda It was quick. I'm sorry!  
4216,0,Sentiment140, my pendrive is broken...it feels that my stars are not good today.
3042,0,Sentiment140, no B-ball 2day Gyms getting fixed
5549,1,Sentiment140, my boyfriend is in the room from his brother and i'm in his room and do things i shouldn't do  it's so funny 
1312,0,Sentiment140, I can already tell that it's going to be one of *those* days...
2893,0,Sentiment140, My cornflowers have all drooped! I hope they survive!
3534,1,Sentiment140, im in such a good mood right now guys.
4733,0,Sentiment140," sorry, i tried messaging you awake"
3446,0,Sentiment140,-- it makes me wish DEARLY that I could contribute some to the pile.   *sad sigh!*  I can't even write fan fics. how can I write a book!?
6056,1,Sentiment140,#imaddicted to suuuusshhhhiiii 
5257,1,Sentiment140,#AllTimeLowSuckMoreCockThanAWellPaidWhore    repost this shit for the love of sanity
981,0,Sentiment140," 1 month of bed by 1:30AM, already failing as you can see"
5638,0,Sentiment140," my tummy, thats what my brother gets for buying me candy.lol"
3745,0,Sentiment140, ITS AMAZING HOW A TWIT CAN COMPLETELY RUIN YOUR DAY... I AM SO SO SO SORRY AMANDA...
2427,1,Sentiment140, How's everybody. I'm finna GO!  HOW ABOUT THEM APPLES =D
5439,1,Sentiment140,#followfriday My girl who always makes time to reply to me when she can @BabygirlsoMajor  Love ya
3260,0,Sentiment140, i want to go down...
2745,0,Sentiment140, i juss wish hed talk...
3724,1,Sentiment140, there is a broken rainbow outside. It's pretty and 1 good part of my night
4642,0,Sentiment140,#celiac #gfree Where do find an easy Brazillian bread recipe - or a store that delivers in the South Okanagan? Been looking for 4 months 
798,0,Sentiment140," burnt tongue, hot chocolate has a downside"
4025,0,Sentiment140, muffins ruined cuz i used baking soda instead of powder by accident.  and now i want to cry. but it's so dumb to cry about muffins.  
5054,0,Sentiment140, what used to be the rainy day fund jar is now a golf tee holder... I'M HUNGRY DAMN IT!
1357,0,Sentiment140," at the hosp, waiting on my taxi. Been waitin over 30 mins now. Can't believe i'm crying :/"
6009,0,Sentiment140,"#cheapspeakers have everybody at rancho dancing to infectious pop. if twitpic was working, there would be a photo. alas, 'tis not "
671,0,Sentiment140, *sob* must be in bed!!
5100,0,Sentiment140, wishing I could attend Summer Jam
2383,0,Sentiment140, I accidentally slammed the door on one of my toes cause i thought my foot wasn't there. It did bleed but it's stopped now :/
1807,0,Sentiment140, don't feel good
2999,1,Sentiment140, i presented my script to the production in class and they liked &gt;.&lt; it's gonna be an interesting shooting ^^
3185,0,Sentiment140, Oh great need to tidy my fucking room 
3593,0,Sentiment140, I'm not very well! ):
4722,0,Sentiment140, someone's missing... and I miss [HIM]
470,0,Sentiment140," Alistair's friends are all in the kitchen and I'm in my pjs...I JUST WANT A CUP OF TEA, DAMMIT!"
2193,0,Sentiment140," I'm trying to do my FTV assignment. I REALLY suck at written pieces, I have no idea on how to structure everything -.-"
908,0,Sentiment140, Dont Wanna Leave NY Today.
4085,0,Sentiment140, my chorus teacher gave the Children of Eden solo to ALL the senior girls... WTF. It's not a solo now! Stuck with the spiritual :/
3580,0,Sentiment140, stupid texts being late for no reason.
3138,0,Sentiment140, I think imma have 2 take my dog 2 the vet.... 
5025,1,Sentiment140, wearing my @JunkFoodTees to the party today  i luv it sooooo much im wearing it!  excited!!! (via @rach210) - Which Tee?  
524,0,Sentiment140,  i wanted julian to win!
273,0,Sentiment140,"   No man is worth your tears, and the one that is won't make you cry!"
4130,0,Sentiment140, why am i not in dallas? goodnight.
1973,0,Sentiment140, idk why i 'm so sad  i need to somone right now 
2554,0,Sentiment140, I didn't get picked for any show!!! Boehoe!
5988,0,Sentiment140, please let my uncle charlie be okay.
1316,0,Sentiment140, i cant get kristen srewart to add me lol she prob  thinks im a stalker lol
5028,0,Sentiment140, wel Dago and I are gonna run to you as soon as we can 
